hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
A,NA,A,,NA,12,23,25,12,35,51,NA,12,NA,0,0,3,0,0,1,87,98,100,72,92,98,63,83,91,41,56,62,36,45,55,0,2,4,2,5,6,4,11,15,9,18,21,5,9,16,26,34,42,13,18,23,13,16,23,18,21,24,0,0,0,2,2.5,4,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.41,1.46,1.49,2.58,1.41,9.17,14.11,0.12,0.18,0.2,NA,NA,NA,22.5,28.1,31.3,10,13.8,17.7,34,43,47,1.7,2.5,3.2,32,36,43,12,13,16,1,5,9,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,15.5,18,20.6,NA,NA,NA,12.3,16.3,22.2,5.6,6.2,7.3,5.1,5.8,6.6,NA,NA,NA,NA,NA,NA,2.4,5.8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607991,51439038
Ap,NA,A,,NA,0,0,0,13,20,30,NA,20,NA,0,0,0,0,0,0,100,100,100,97,100,100,91,99,100,83,92,97,5,11,16,0,0,1,0,0,1,1,2,3,2,4,6,3,5,8,45,53,60,15,19,25,28,34,40,30,36,41,0,0,0,5,9,12,NA,NA,NA,0.9,0.95,1.2,NA,NA,NA,1.05,1.1,1.35,2.47,0.42,0.92,14.11,0.12,0.22,0.23,NA,NA,NA,29.8,33.5,35.7,15.4,21,25.1,46,55,57,2.6,4.9,6.9,49,64,75,20,25,28,18,29,38,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,24.8,29.5,33.4,NA,NA,NA,21.2,28.4,33.4,6.1,6.8,7.3,6,6.8,7,NA,NA,NA,NA,NA,NA,4.4,7.7,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607934,51438813
Cg,NA,C,,NA,60,97,200,200,200,200,NA,103,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,90,98,57,81,91,5,16,35,0,1,3,0,2,5,1,3,8,2,6,16,3,4,13,39,53,66,10,15,22,26,38,48,20,31,37,0,1,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.69,1.79,1.91,2.61,0.42,2.82,14.11,0.14,0.19,0.22,NA,NA,NA,22.8,31.6,34.9,10.4,19.3,24.1,27,35,40,1.4,3.7,5.8,28,41,48,11,21,26,3,16,26,0.37,0.37,0,15,20,0,0,0,0,0,0,0,0,2,14.5,22.4,24.3,NA,NA,NA,14.3,61.1,63.3,6.6,7.4,8.4,7,7.2,7.5,NA,NA,NA,NA,NA,NA,0,2.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607934,51438814
Bg,NA,B,,NA,60,84,150,60,97,200,NA,13,NA,0,0,0,0,0,0,100,100,100,98,100,100,91,98,100,81,89,94,5,15,25,0,0,2,0,1,3,1,2,5,2,5,12,5,7,10,45,49,60,11,17,21,28,32,40,30,36,41,0,0,1,0.5,1.5,2.5,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.63,1.68,1.74,2.57,0.42,0.92,14.11,0.11,0.19,0.2,NA,NA,NA,31,34,36.1,17.2,22,25.9,35,43,45,3.8,6.3,7.6,40,49,56,21,26,29,17,25,32,0.37,0.37,0,0,10,0,0,0,0,0,0,0,0,2,23,27.9,31,NA,NA,NA,21.9,26.6,70,6.6,7.1,7.8,6,7.1,7.4,NA,NA,NA,NA,NA,NA,1.3,4.1,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607934,51438815
A,NA,A,,NA,13,20,30,60,84,150,NA,64,NA,0,0,0,0,0,0,100,100,100,98,100,100,92,99,100,84,91,96,5,12,19,0,0,1,0,0,2,1,2,4,2,4,6,4,6,10,45,52,60,15,18,25,28,34,40,30,36,41,0,0,0,2,6,8,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.48,1.53,1.63,2.51,0.42,0.92,14.11,0.11,0.22,0.23,NA,NA,NA,31.3,35.8,38,17.7,25.4,30,43,46,48,3.1,5.5,7.8,43,58,68,21,26,29,18,27,36,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,24,29.2,32.9,NA,NA,NA,21.8,28.5,32.7,6.6,7,7.3,6.5,6.8,7.3,NA,NA,NA,NA,NA,NA,3.3,6.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607934,51438816
Cg,NA,C,,NA,74,91,102,200,200,200,NA,109,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,84,95,39,53,63,35,49,60,0,2,4,2,5,6,4,12,15,9,19,21,5,11,16,30,36,50,13,19,27,15,17,22,10,15,22,1,2,4,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.56,1.66,1.72,2.64,4.23,9.17,42.34,0.11,0.18,0.22,NA,NA,NA,17.8,24.6,29.3,5.2,9.5,14.6,27,36,41,0.6,1.2,2.3,19,25,33,4,8,14,0,1,6,0.37,0.37,12,15,20,0,0,0,0,0,0,0,0,2,6.9,10.7,14.7,NA,NA,NA,45.6,49.4,53.7,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607935,51438817
Ap,NA,A,,NA,0,0,0,18,20,25,NA,20,NA,0,1,4,0,1,2,85,98,100,66,90,98,63,87,98,51,70,81,18,28,36,0,0,2,2,2,4,6,6,8,10,11,14,8,9,16,36,43,49,13,17,18,20,26,26,28,29,35,1,3,5,4,7,10,NA,NA,NA,0.95,1.05,1.3,NA,NA,NA,1.02,1.12,1.37,2.52,1.41,2.82,14.11,0.17,0.18,0.23,NA,NA,NA,24.5,30.8,35,12.9,18.3,24.2,34,50,55,1.9,2.2,3.2,44,52,64,17,19,23,5,14,23,0.28,0.28,5,13,15,0,0,0,0,0,0,0,0,2,22.7,23,26.2,NA,NA,NA,56,61.7,65.2,7.4,7.5,7.8,6.9,7.4,7.7,NA,NA,NA,NA,NA,NA,2.5,4.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607935,51438818
A,NA,A,,NA,18,20,25,36,41,45,NA,21,NA,0,0,3,0,0,1,87,98,100,72,92,98,66,89,98,50,69,79,16,30,42,0,0,2,2,2,3,5,7,9,12,12,17,8,9,11,33,40,52,13,16,17,18,24,25,25,30,35,1,2,5,2,5,6,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.47,1.52,1.56,2.54,1.41,2.82,14.11,0.17,0.18,0.24,NA,NA,NA,25.1,33.1,36.1,13.5,21.9,26.5,32,42,45,2.5,3.8,4.8,37,49,57,15,20,24,4,14,21,0.28,0.28,5,10,15,0,0,0,0,0,0,0,0,2,20.1,23.9,25.6,NA,NA,NA,53.4,62.6,64.6,7.4,7.7,7.8,6.9,7.6,7.8,NA,NA,NA,NA,NA,NA,1.5,3.2,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607935,51438819
AB,NA,AB,,NA,36,41,45,46,51,60,NA,10,NA,0,0,3,0,0,1,87,98,100,72,92,98,66,89,98,50,69,79,16,30,42,0,0,2,2,2,3,5,7,9,12,12,17,8,9,11,33,40,52,13,16,17,18,24,25,25,30,35,1,2,5,1,3,5,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.47,1.52,1.56,2.57,1.41,2.82,14.11,0.17,0.18,0.24,NA,NA,NA,24.4,31.8,35.6,12.5,19.7,25.3,33,43,46,2.4,3.8,4.8,35,45,54,15,20,24,4,13,20,0.28,0.28,5,10,15,0,0,0,0,0,0,0,0,2,19.6,23.5,25.5,NA,NA,NA,52.9,62.2,64.5,7.4,7.7,7.8,6.9,7.6,7.8,NA,NA,NA,NA,NA,NA,1.1,2.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607935,51438820
Bkg,NA,B,,NA,46,51,60,74,91,102,NA,40,NA,0,0,3,0,0,1,88,98,100,73,93,98,60,86,98,42,62,74,16,39,55,0,1,4,2,4,5,6,8,11,12,15,20,8,11,13,27,34,55,11,12,16,19,22,29,17,27,35,3,6,10,0.5,1.5,3,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.46,1.51,1.71,2.61,1.41,2.82,42.34,0.12,0.17,0.24,NA,NA,NA,21.5,30.4,34.8,8.7,17.1,23.9,30,42,45,0.8,2.5,4,25,38,49,6,15,23,0,7,17,0.32,0.32,15,17,25,0,0,0,0,0,0,0,0,2,11.7,17.6,21.2,NA,NA,NA,50.4,56.3,60.2,7.4,8,8.4,7.2,7.7,8,NA,NA,NA,NA,NA,NA,0,0.5,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607935,51438821
