musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Consociation,NA,48216,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,88,NA,NA,NA,NA,32529,2765522
L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",Consociation,NA,56250,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,87,NA,NA,NA,NA,32529,2922007
