"CheckpointID","SimulationID","Zone","Clock.Today","Wheat.Phenology.Zadok.Stage","Wheat.Phenology.CurrentStageName","Wheat.AboveGround.Wt","Wheat.AboveGround.N","Yield","Wheat.Grain.Protein","Wheat.Grain.Size","Wheat.Grain.Number","Wheat.Grain.Total.Wt","Wheat.Grain.Total.N","Wheat.Total.Wt","Date"
1,1,"Field","1900-11-14 12:00:00",0,"HarvestRipe",1271.42352911216,17.4331373911909,4921.04492989191,14.0359166510234,0.0263508653172645,18675.0790558204,492.104492989191,12.096563305062,1480.82965836854,1900-11-14
1,1,"Field","1901-11-15 12:00:00",0,"HarvestRipe",1328.03668159217,12.59136626192,4625.9230951221,10.7828273366815,0.0265733349485001,17408.1390389549,462.59230951221,8.73564448467055,1556.7855482355,1901-11-15
1,1,"Field","1902-10-21 12:00:00",0,"HarvestRipe",201.519057379778,2.93873933191142,766.282546396858,14.1691927486001,0.02107535174482,3635.91818383386,76.6282546396858,1.90150702272946,233.194035398585,1902-10-21
1,1,"Field","1903-11-04 12:00:00",0,"HarvestRipe",1654.13867319472,31.4590576981488,7204.45675654614,15.2614306211019,0.0343280824944677,20987.0643305148,720.445675654614,19.2557472771905,1922.29700131162,1903-11-04
1,1,"Field","1904-11-17 12:00:00",0,"HarvestRipe",1427.50515224167,24.7623074799047,6365.57057389587,15.0645131182885,0.0315312433251757,20188.1369162927,636.557057389587,16.7940843110062,1665.7475140052,1904-11-17
1,1,"Field","1905-11-07 12:00:00",0,"HarvestRipe",951.642453323954,21.9314531033368,3652.97438758243,15.0073230673363,0.0203636852648088,17938.6704325826,365.297438758243,9.60093989337208,1089.62191585707,1905-11-07
1,1,"Field","1907-11-14 12:00:00",0,"HarvestRipe",971.984300273371,27.9637265227688,3700.57808682498,15.1173095630442,0.022666539377609,16326.1714775948,370.057808682498,9.79733528909825,1125.75144259909,1907-11-14
1,1,"Field","1909-12-27 12:00:00",0,"HarvestRipe",1137.61379325194,29.9401316674784,4511.65532507607,15.1989808978421,0.0223269668145837,20207.2021808583,451.165532507607,12.0092054471942,1315.42267569479,1909-12-27
1,1,"Field","1910-11-21 12:00:00",0,"HarvestRipe",1202.98836897351,31.7756393238495,4690.23566322231,15.2261437824606,0.0248597327904318,18866.7983793757,469.023566322231,12.5068656010241,1390.91668547763,1910-11-21
1,1,"Field","1912-11-20 12:00:00",0,"HarvestRipe",1061.98346726469,27.1416472820118,3972.18292362254,15.1413296228983,0.0233334014961164,17023.5913708666,397.218292362254,10.5331227616492,1237.98948132831,1912-11-20
1,1,"Field","1913-11-10 12:00:00",0,"HarvestRipe",849.664522874663,30.3525143213428,3171.3034449577,15.2000970061051,0.0213263587417387,14870.3465198258,317.13034449577,8.44205253925612,975.580944415639,1913-11-10
1,1,"Field","1914-11-23 12:00:00",0,"HarvestRipe",136.599551577993,5.76500005965279,463.65859681589,14.9651380582219,0.0199179541788792,2327.84247142987,46.365859681589,1.21518649969023,159.988521156743,1914-11-23
1,1,"Field","1916-11-28 12:00:00",0,"HarvestRipe",910.146606348065,26.2462432638982,3297.67986794149,15.1568950488406,0.022297777330181,14789.2761646603,329.767986794149,8.75351797952076,1057.48147320797,1916-11-28
1,1,"Field","1919-11-15 12:00:00",0,"HarvestRipe",996.236390057789,31.2483752940934,3920.12677942488,15.1945049892918,0.0214193959159906,18301.7616126995,392.012677942488,10.4315912274305,1151.89267853195,1919-11-15
1,1,"Field","1920-11-02 12:00:00",0,"HarvestRipe",1362.73938902017,29.3714774289812,5439.73538448793,15.1406840581634,0.0284955051120973,19089.8015777884,543.973538448793,14.4240481289919,1579.58563890403,1920-11-02
1,1,"Field","1921-11-01 12:00:00",0,"HarvestRipe",1172.5643391124,26.8149841892482,4256.63700955205,15.1506030823883,0.0242391395714643,17561.0070522602,425.663700955205,11.2943288612132,1353.47685582904,1921-11-01
1,1,"Field","1922-12-04 12:00:00",0,"HarvestRipe",651.214356563671,22.1555124410476,2706.64668750536,15.0956180936421,0.0229715481451905,11782.6045959033,270.664668750536,7.15560502784628,757.832120430188,1922-12-04
1,1,"Field","1923-11-23 12:00:00",0,"HarvestRipe",64.5857894273002,2.61852093429569,251.251472315693,15.1407087587312,0.0225883386149439,1112.30611776588,25.1251472315693,0.666221605522648,79.0372462290916,1923-11-23
1,1,"Field","1925-11-10 12:00:00",0,"HarvestRipe",1445.70727984527,32.8108506429012,5866.33098920999,15.1968205492606,0.0244004152824503,24041.9309315169,586.633098920999,15.6128860465132,1676.64839620669,1925-11-10
1,1,"Field","1926-11-05 12:00:00",0,"HarvestRipe",614.79847799973,21.8412543211133,2520.89201069554,15.1713270038694,0.02184910263992,11537.7370514507,252.089201069554,6.69794694145427,707.166346624426,1926-11-05
1,1,"Field","1927-11-21 12:00:00",0,"HarvestRipe",813.620615076816,26.5154660084287,3332.90242130001,15.1384875143686,0.022755922488814,14646.3076719406,333.290242130001,8.83626999850421,942.628395514672,1927-11-21
1,1,"Field","1928-11-25 12:00:00",0,"HarvestRipe",633.907398887718,21.535318213843,2389.22687072396,15.1638020229446,0.0227410918607758,10506.2100155575,238.922687072396,6.34496729519399,736.912811839306,1928-11-25
1,1,"Field","1930-11-04 12:00:00",0,"HarvestRipe",1577.02221654745,33.7317396442735,6500.38827280394,15.2325291552876,0.0298136258781226,21803.413980498,650.038827280394,17.3410427121148,1832.37332720082,1930-11-04
