"CheckpointID","SimulationID","Zone","Clock.Today","Wheat.Phenology.Stage","Wheat.Phenology.MinimumLeafNumber","Wheat.Leaf.LAI","Wheat.Phenology.AccumulatedTT","Wheat.AboveGround.Wt","Wheat.AboveGround.NConc","Date"
1,1,"field","2016-10-01 12:00:00",1,7,0,0,0,0,2016-10-01
1,1,"field","2016-10-02 12:00:00",1,7,0,0,0,0,2016-10-02
1,1,"field","2016-10-03 12:00:00",1,7,0,0,0,0,2016-10-03
1,1,"field","2016-10-04 12:00:00",1,7,0,0,0,0,2016-10-04
1,1,"field","2016-10-05 12:00:00",1,7,0,0,0,0,2016-10-05
1,1,"field","2016-10-06 12:00:00",1,7,0,0,0,0,2016-10-06
1,1,"field","2016-10-07 12:00:00",1,7,0,0,0,0,2016-10-07
1,1,"field","2016-10-08 12:00:00",1,7,0,0,0,0,2016-10-08
1,1,"field","2016-10-09 12:00:00",1,7,0,0,0,0,2016-10-09
1,1,"field","2016-10-10 12:00:00",1.999,6,0,14.4644999504089,0,0,2016-10-10
1,1,"field","2016-10-11 12:00:00",2.16030434732852,6,0,32.8994998931885,0,0,2016-10-11
1,1,"field","2016-10-12 12:00:00",2.21834347766379,6,0,39.5739998817444,0,0,2016-10-12
1,1,"field","2016-10-13 12:00:00",2.26987279753268,6,0,45.4998716666669,0,0,2016-10-13
1,1,"field","2016-10-14 12:00:00",2.36576410424396,6,0,56.527371938464,0,0,2016-10-14
1,1,"field","2016-10-15 12:00:00",2.52515540792836,6,0,74.8573718621701,0,0,2016-10-15
1,1,"field","2016-10-16 12:00:00",2.69554670630535,6,0,94.4523711755246,0,0,2016-10-16
1,1,"field","2016-10-17 12:00:00",2.87345436850077,6,0,114.911752327997,0,0,2016-10-17
1,1,"field","2016-10-18 12:00:00",3,6,0.06,131.241752728541,3.87096774193548,0.0405431219489874,2016-10-18
1,1,"field","2016-10-19 12:00:00",3.18246043571696,6,0.06,145.078752860148,4.13999758056283,0.0378478941210631,2016-10-19
1,1,"field","2016-10-20 12:00:00",3.21798281638399,6,0.06,152.77175281914,4.3287510010837,0.0437770745546948,2016-10-20
1,1,"field","2016-10-21 12:00:00",3.23698895983755,6,0.0601242521035905,160.37175269397,4.5468188791023,0.0426193643260277,2016-10-21
1,1,"field","2016-10-22 12:00:00",3.25547486275709,6,0.0601242521035905,173.984752371628,4.84495988761379,0.041260390641256,2016-10-22
1,1,"field","2016-10-23 12:00:00",3.28901160339199,6,0.0601242521035905,187.90275259288,5.1858214483431,0.0402203147163568,2016-10-23
1,1,"field","2016-10-24 12:00:00",3.32283514088425,6,0.0601242521035905,197.141252591927,5.45482865161697,0.0394778328404936,2016-10-24
1,1,"field","2016-10-25 12:00:00",3.34449563462093,6,0.0716666935661212,208.721252515633,5.58672588021947,0.0466818945084987,2016-10-25
1,1,"field","2016-10-26 12:00:00",3.37164667395489,6,0.0794143107408389,218.497252300102,5.72195241033767,0.0495101814575172,2016-10-26
1,1,"field","2016-10-27 12:00:00",3.39401081910689,6,0.0892321509686168,229.646252467949,6.28039099170823,0.0495098597770173,2016-10-27
1,1,"field","2016-10-28 12:00:00",3.41940803929313,6,0.0973544550181631,246.384752347786,6.73728037487631,0.0495237985320114,2016-10-28
1,1,"field","2016-10-29 12:00:00",3.45790378104792,6,0.108897646725511,263.534752443153,7.39188711777259,0.0495254986566912,2016-10-29
1,1,"field","2016-10-30 12:00:00",3.49688078951063,6,0.117055281920905,273.319752290566,7.85811983658375,0.0495162203756877,2016-10-30
1,1,"field","2016-10-31 12:00:00",3.51798783186964,6,0.121751964196373,284.878752067406,8.11563665165464,0.0495278703388481,2016-10-31
1,1,"field","2016-11-01 12:00:00",3.54298760650521,6,0.137215664138716,301.668752029259,8.96799897411747,0.0495360170063971,2016-11-01
1,1,"field","2016-11-02 12:00:00",3.57008477021085,6,0.14663817575716,315.243751838524,9.48316991990338,0.0495439912843262,2016-11-02
1,1,"field","2016-11-03 12:00:00",3.59132428984276,6,0.16494822743304,328.171751692612,10.5006432289844,0.049522218366061,2016-11-03
1,1,"field","2016-11-04 12:00:00",3.61122043685347,6,0.184800422518936,342.788751318771,11.5989383859299,0.0495114927224985,2016-11-04
1,1,"field","2016-11-05 12:00:00",3.63376404440754,6,0.203351923432287,357.960751488525,12.6208077709993,0.0495105022482193,2016-11-05
1,1,"field","2016-11-06 12:00:00",3.65700094217558,6,0.22831317847075,370.134751513321,14.019446082293,0.0494695842385707,2016-11-06
