ApsimVersion = 7.9 r4044
Title = Maize
           Date  transpiration          drain             es            esw          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)
   (dd/mm/yyyy)           (mm)           (mm)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)
     20/11/2011         -0.000          0.000          0.479        150.774          0.290          0.305          0.294          0.295          0.209          0.190
     21/11/2011         -0.000          0.000          0.196        150.578          0.289          0.305          0.293          0.294          0.210          0.190
     22/11/2011         -0.000          0.000          0.354        150.225          0.288          0.305          0.293          0.293          0.211          0.190
     23/11/2011         -0.000          0.000          0.319        149.906          0.286          0.305          0.292          0.292          0.211          0.190
     24/11/2011         -0.000          0.000          0.511        149.395          0.284          0.305          0.292          0.292          0.212          0.190
     25/11/2011         -0.000          0.000          0.544        148.851          0.282          0.305          0.292          0.292          0.212          0.190
     26/11/2011         -0.000          0.000          0.276        151.576          0.294          0.305          0.292          0.292          0.212          0.190
     27/11/2011         -0.000          0.000          0.146        151.429          0.294          0.304          0.292          0.292          0.212          0.190
     28/11/2011         -0.000          0.000          0.115        151.314          0.293          0.304          0.292          0.291          0.212          0.190
     29/11/2011         -0.000          0.000          0.278        151.036          0.292          0.304          0.292          0.291          0.212          0.190
     30/11/2011         -0.000          0.000          0.491        150.545          0.290          0.304          0.292          0.291          0.213          0.190
     01/12/2011         -0.000          0.000          0.473        150.073          0.288          0.304          0.292          0.291          0.213          0.190
     02/12/2011         -0.000          0.000          0.208        149.865          0.287          0.304          0.292          0.291          0.213          0.190
     03/12/2011         -0.000          0.000          0.227        168.638          0.342          0.321          0.299          0.294          0.214          0.190
     04/12/2011         -0.000          0.000          0.119        184.519          0.366          0.341          0.311          0.301          0.220          0.190
     05/12/2011         -0.000          0.000          0.028        184.491          0.339          0.340          0.318          0.308          0.229          0.190
     06/12/2011         -0.000          0.000          0.021        184.470          0.324          0.333          0.318          0.312          0.241          0.190
     07/12/2011         -0.000          0.000          0.042        184.428          0.315          0.325          0.315          0.313          0.253          0.190
     08/12/2011         -0.000          0.000          0.081        184.347          0.310          0.319          0.311          0.312          0.265          0.190
     09/12/2011         -0.000          0.000          0.082        184.266          0.308          0.314          0.307          0.310          0.276          0.190
     10/12/2011         -0.000          0.000          0.067        184.199          0.306          0.311          0.303          0.307          0.284          0.191
     11/12/2011         -0.000          0.000          0.250        183.949          0.304          0.308          0.300          0.304          0.290          0.191
     12/12/2011         -0.000          0.000          0.314        183.635          0.303          0.307          0.297          0.301          0.293          0.194
     13/12/2011         -0.000          0.000          0.238        183.397          0.302          0.306          0.295          0.299          0.294          0.197
     14/12/2011         -0.000          0.000          0.256        197.141          0.338          0.321          0.300          0.299          0.294          0.200
     15/12/2011         -0.000          0.000          0.481        196.660          0.321          0.322          0.304          0.301          0.296          0.204
     16/12/2011         -0.000          0.000          0.128        196.532          0.313          0.318          0.304          0.303          0.297          0.209
     17/12/2011         -0.000          0.000          0.231        196.301          0.309          0.314          0.303          0.303          0.298          0.214
     18/12/2011         -0.000          0.000          0.501        195.800          0.305          0.311          0.301          0.302          0.298          0.220
     19/12/2011         -0.000          0.000          0.513        195.287          0.302          0.308          0.299          0.300          0.298          0.225
     20/12/2011         -0.000          0.000          0.128        195.159          0.302          0.307          0.297          0.299          0.297          0.230
     21/12/2011         -0.000          0.000          0.183        194.976          0.301          0.306          0.295          0.297          0.296          0.234
     22/12/2011         -0.000          0.000          0.317        194.659          0.300          0.306          0.294          0.296          0.295          0.237
     23/12/2011         -0.000          0.000          0.145        194.514          0.299          0.305          0.293          0.295          0.293          0.240
     24/12/2011         -0.000          0.000          0.495        194.019          0.297          0.305          0.293          0.294          0.292          0.242
     25/12/2011         -0.000          0.000          0.540        193.479          0.294          0.305          0.292          0.293          0.292          0.244
     26/12/2011         -0.000          0.000          0.528        192.951          0.292          0.305          0.292          0.293          0.291          0.245
     27/12/2011         -0.000          0.000          0.453        192.498          0.290          0.305          0.292          0.293          0.290          0.246
     28/12/2011         -0.000          0.000          0.438        192.061          0.288          0.305          0.292          0.292          0.290          0.246
     29/12/2011         -0.000          0.000          0.531        191.530          0.286          0.305          0.292          0.292          0.289          0.247
     30/12/2011         -0.000          0.000          0.258        198.272          0.311          0.308          0.293          0.293          0.289          0.247
     31/12/2011         -0.000          0.000          0.324        197.948          0.307          0.308          0.294          0.293          0.290          0.248
