"CheckpointID","SimulationID","Zone","Clock.Today","Maize.Phenology.CurrentStageName","Maize.AboveGround.Wt","Maize.AboveGround.N","Maize.Grain.Wt","Maize.Grain.Size","Maize.Grain.NumberFunction","Maize.Grain.N","Maize.Total.Wt","Date"
1,1,"Field","1991-05-28 12:00:00","HarvestRipe",1625.79242047545,15.6645331797079,863.920526481788,0.282471392719674,3058.43546903579,11.359977843759,1750.91178017821,1991-05-28
1,1,"Field","1992-04-09 12:00:00","HarvestRipe",902.099342677026,10.1375002421492,494.585086266944,0.28187551587384,1754.62237198461,6.56126581062025,979.375358706639,1992-04-09
1,1,"Field","1993-03-16 12:00:00","HarvestRipe",198.485002364912,2.10288549699734,70.3547288982805,0.302829951335575,232.324208976008,0.94466545779189,221.646034001362,1993-03-16
1,1,"Field","1994-03-15 12:00:00","HarvestRipe",832.62301673018,8.81930530152225,373.447574667307,0.220476849545734,1693.81762954591,5.23477557801663,909.9516209372,1994-03-15
1,1,"Field","1995-04-04 12:00:00","HarvestRipe",1571.07178164777,16.9053196115832,812.784228637644,0.280541069092516,2897.20229293632,10.837162881889,1712.93275470988,1995-04-04
1,1,"Field","1996-03-15 12:00:00","HarvestRipe",1995.85176071568,18.3266494861792,885.178187981663,0.299567237476232,2954.85646374094,11.288845223715,2152.06772539061,1996-03-15
1,1,"Field","1997-04-05 12:00:00","HarvestRipe",1123.36335586334,11.4205761687996,405.097638746584,0.298877417273355,1355.39728107353,5.36835312241526,1274.59025434334,1997-04-05
1,1,"Field","1998-03-06 12:00:00","HarvestRipe",883.043430859492,8.815055551191,331.035889804223,0.295592174987998,1119.90748678535,4.49146001083045,1000.25660778222,1998-03-06
1,1,"Field","1999-04-10 12:00:00","HarvestRipe",1879.58074363833,18.1881485394794,844.08120651574,0.29837026036001,2828.97231613258,11.1603623198647,2034.84836838482,1999-04-10
1,1,"Field","2000-04-04 12:00:00","HarvestRipe",1603.23745394378,17.1068627904784,777.951640117353,0.28955289217715,2686.7341378217,10.2618710598899,1759.57055507131,2000-04-04
