"CheckpointID","SimulationID","Zone","Clock.Today","Wheat.Phenology.Stage","Wheat.Phenology.MinimumLeafNumber","Wheat.Leaf.LAI","Wheat.Phenology.AccumulatedTT","Wheat.AboveGround.Wt","Wheat.AboveGround.NConc","Date"
1,1,"field","2016-03-09 12:00:00",1,7,0,0,0,0,2016-03-09
1,1,"field","2016-03-10 12:00:00",1,7,0,0,0,0,2016-03-10
1,1,"field","2016-03-11 12:00:00",1,7,0,0,0,0,2016-03-11
1,1,"field","2016-03-12 12:00:00",1,7,0,0,0,0,2016-03-12
1,1,"field","2016-03-13 12:00:00",1,7,0,0,0,0,2016-03-13
1,1,"field","2016-03-14 12:00:00",1,7,0,0,0,0,2016-03-14
1,1,"field","2016-03-15 12:00:00",1,7,0,0,0,0,2016-03-15
1,1,"field","2016-03-16 12:00:00",1,7,0,0,0,0,2016-03-16
1,1,"field","2016-03-17 12:00:00",1,7,0,0,0,0,2016-03-17
1,1,"field","2016-03-18 12:00:00",1,7,0,0,0,0,2016-03-18
1,1,"field","2016-03-19 12:00:00",1,7,0,0,0,0,2016-03-19
1,1,"field","2016-03-20 12:00:00",1,7,0,0,0,0,2016-03-20
1,1,"field","2016-03-21 12:00:00",1,7,0,0,0,0,2016-03-21
1,1,"field","2016-03-22 12:00:00",1,7,0,0,0,0,2016-03-22
1,1,"field","2016-03-23 12:00:00",1,7,0,0,0,0,2016-03-23
1,1,"field","2016-03-24 12:00:00",1,7,0,0,0,0,2016-03-24
1,1,"field","2016-03-25 12:00:00",1,7,0,0,0,0,2016-03-25
1,1,"field","2016-03-26 12:00:00",1,7,0,0,0,0,2016-03-26
1,1,"field","2016-03-27 12:00:00",1,7,0,0,0,0,2016-03-27
1,1,"field","2016-03-28 12:00:00",1,7,0,0,0,0,2016-03-28
1,1,"field","2016-03-29 12:00:00",1,7,0,0,0,0,2016-03-29
1,1,"field","2016-03-30 12:00:00",1,7,0,0,0,0,2016-03-30
1,1,"field","2016-03-31 12:00:00",1,7,0,0,0,0,2016-03-31
1,1,"field","2016-04-01 12:00:00",1,7,0,0,0,0,2016-04-01
1,1,"field","2016-04-02 12:00:00",1,7,0,0,0,0,2016-04-02
1,1,"field","2016-04-03 12:00:00",1,7,0,0,0,0,2016-04-03
1,1,"field","2016-04-04 12:00:00",1,7,0,0,0,0,2016-04-04
1,1,"field","2016-04-05 12:00:00",1,7,0,0,0,0,2016-04-05
1,1,"field","2016-04-06 12:00:00",1,7,0,0,0,0,2016-04-06
1,1,"field","2016-04-07 12:00:00",1,7,0,0,0,0,2016-04-07
1,1,"field","2016-04-08 12:00:00",1,7,0,0,0,0,2016-04-08
1,1,"field","2016-04-09 12:00:00",1,7,0,0,0,0,2016-04-09
1,1,"field","2016-04-10 12:00:00",1,7,0,0,0,0,2016-04-10
1,1,"field","2016-04-11 12:00:00",1,7,0,0,0,0,2016-04-11
1,1,"field","2016-04-12 12:00:00",1,7,0,0,0,0,2016-04-12
1,1,"field","2016-04-13 12:00:00",1,7,0,0,0,0,2016-04-13
1,1,"field","2016-04-14 12:00:00",1,7,0,0,0,0,2016-04-14
1,1,"field","2016-04-15 12:00:00",1,7,0,0,0,0,2016-04-15
1,1,"field","2016-04-16 12:00:00",1,7,0,0,0,0,2016-04-16
1,1,"field","2016-04-17 12:00:00",1,7,0,0,0,0,2016-04-17
1,1,"field","2016-04-18 12:00:00",1,7,0,0,0,0,2016-04-18
1,1,"field","2016-04-19 12:00:00",1,7,0,0,0,0,2016-04-19
1,1,"field","2016-04-20 12:00:00",1,7,0,0,0,0,2016-04-20
1,1,"field","2016-04-21 12:00:00",1,7,0,0,0,0,2016-04-21
1,1,"field","2016-04-22 12:00:00",1,7,0,0,0,0,2016-04-22
1,1,"field","2016-04-23 12:00:00",1,7,0,0,0,0,2016-04-23
1,1,"field","2016-04-24 12:00:00",1,7,0,0,0,0,2016-04-24
1,1,"field","2016-04-25 12:00:00",1,7,0,0,0,0,2016-04-25
1,1,"field","2016-04-26 12:00:00",1,7,0,0,0,0,2016-04-26
1,1,"field","2016-04-27 12:00:00",1,7,0,0,0,0,2016-04-27
1,1,"field","2016-04-28 12:00:00",1,7,0,0,0,0,2016-04-28
1,1,"field","2016-04-29 12:00:00",1,7,0,0,0,0,2016-04-29
1,1,"field","2016-04-30 12:00:00",1,7,0,0,0,0,2016-04-30
